crawl_timestamp,product_name,product_category_tree,retail_price,discounted_price,brand
2016-04-04 16:06:42+00:00,Dressberry Gold Synthetic  Clutch,"[""Dressberry Gold Synthetic  Clutch""]",1299,1299,Dressberry
2016-04-04 16:06:42+00:00,"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole","[""Clothing >> Women's Clothing >> Accessories >> Scarves & Stoles >> Great Art Scarves & Stoles >> Great Art Floral Print Wool, Viscose, 20% Kashmi...""]",1099,493,Great Art
2016-04-04 16:06:42+00:00,Indistar Self Design Viscose Women's Stole,"[""Indistar Self Design Viscose Women's Stole""]",478,239,Indistar
2016-04-04 16:06:42+00:00,Mast & Harbour Black Synthetic  Clutch,"[""Mast & Harbour Black Synthetic  Clutch""]",1899,1899,Mast & Harbour
2016-04-04 16:06:42+00:00,Glacier Running Shoes,"[""Glacier Running Shoes""]",629,498,Glacier
2016-04-04 16:06:42+00:00,Dressberry Black Synthetic  Clutch,"[""Dressberry Black Synthetic  Clutch""]",1299,1299,Dressberry
2016-04-04 16:06:42+00:00,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,"[""Bags, Wallets & Belts >> Wallets & Clutches >> Clutches >> Zoe Marciano Clutches >> Zoe Marciano Blue Heavy-duty satin wong fabric  ...""]",1599,699,Zoe Marciano
2016-04-04 16:06:42+00:00,Asics Gel-Cumulus 17 Running Shoes,"[""Asics Gel-Cumulus 17 Running Shoes""]",9499,9499,Asics
2016-04-04 16:06:42+00:00,Dressberry Black Synthetic  Clutch,"[""Dressberry Black Synthetic  Clutch""]",1299,1299,Dressberry
2016-04-04 16:06:42+00:00,Mast & Harbour Gold Synthetic  Clutch,"[""Mast & Harbour Gold Synthetic  Clutch""]",1899,1899,Mast & Harbour
